Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
42,Yes,Travel_Rarely,1096,Research & Development,3,4,Medical,1,1,3,Male,72,2,3,Research Scientist,2,Single,8457,20252,5,Y,No,14,3,3,80,1,22,2,4,18,9,2,4
36,No,Travel_Rarely,1224,Research & Development,19,2,Life Sciences,1,2,4,Male,50,1,2,Research Director,2,Married,4975,8273,5,Y,No,15,3,3,80,3,17,0,2,2,0,0,0
43,No,Non-Travel,604,Research & Development,7,2,Medical,1,3,2,Male,77,3,3,Manager,2,Married,4515,4547,2,Y,No,11,3,3,80,0,1,3,3,0,0,0,0
51,No,Non-Travel,1489,Research & Development,3,1,Medical,1,4,1,Female,85,3,2,Manufacturing Director,4,Divorced,2610,4117,5,Y,No,11,3,3,80,2,25,2,2,16,5,10,4
35,No,Travel_Rarely,271,Research & Development,1,4,Other,1,5,2,Male,84,3,2,Research Scientist,3,Married,4319,6338,6,Y,No,11,3,1,80,1,10,3,4,2,1,0,0
35,No,Travel_Rarely,1435,Research & Development,17,2,Life Sciences,1,6,3,Female,59,3,2,Healthcare Representative,2,Divorced,5516,23696,2,Y,Yes,15,4,2,80,0,5,6,2,2,0,0,0
52,No,Travel_Rarely,1139,Research & Development,4,2,Medical,1,7,2,Female,31,2,5,Laboratory Technician,3,Single,17144,14339,5,Y,No,15,3,4,80,0,29,5,3,14,9,1,4
44,No,Non-Travel,962,Research & Development,11,1,Other,1,8,4,Male,94,4,3,Manufacturing Director,4,Married,5406,24149,7,Y,No,11,3,4,80,2,28,4,2,17,14,8,10
33,No,Non-Travel,234,Research & Development,3,1,Other,1,9,4,Female,34,2,2,Research Scientist,4,Married,5422,18970,3,Y,Yes,20,3,4,80,2,17,1,3,10,5,7,4
42,No,Travel_Rarely,751,Research & Development,7,4,Life Sciences,1,10,3,Male,91,4,5,Manager,2,Married,12508,8502,4,Y,No,13,4,3,80,1,26,1,2,6,2,1,4
33,No,Travel_Frequently,979,Research & Development,7,3,Life Sciences,1,11,2,Male,60,3,3,Manager,3,Divorced,8572,5884,2,Y,No,11,4,3,80,0,13,5,3,8,1,1,3
33,No,Travel_Frequently,551,Research & Development,28,1,Medical,1,12,3,Female,73,3,1,Manufacturing Director,2,Married,3499,14054,2,Y,No,11,3,4,80,2,9,1,4,5,2,2,3
39,No,Travel_Frequently,1000,Sales,7,1,Marketing,1,13,4,Female,79,3,1,Sales Representative,3,Married,2255,2969,3,Y,No,11,3,3,80,1,16,4,2,3,0,1,1
19,Yes,Travel_Rarely,1011,Sales,6,2,Marketing,1,14,4,Male,67,1,1,Manager,2,Divorced,3401,14451,0,Y,No,11,3,4,80,0,2,4,1,0,0,0,0
21,Yes,Travel_Frequently,426,Research & Development,2,1,Other,1,15,2,Male,78,4,2,Manufacturing Director,3,Single,5068,14942,0,Y,No,16,3,3,80,0,0,1,4,0,0,0,0
32,No,Non-Travel,1047,Sales,17,2,Medical,1,16,3,Female,100,2,1,Manager,3,Single,2741,6231,2,Y,No,11,4,3,80,0,12,3,4,1,0,0,0
27,No,Travel_Frequently,1210,Research & Development,10,3,Technical Degree,1,17,3,Female,58,2,2,Healthcare Representative,2,Married,2926,14251,0,Y,Yes,13,3,3,80,1,0,1,2,0,0,0,0
40,No,Travel_Rarely,758,Research & Development,6,3,Medical,1,18,2,Male,61,3,3,Research Scientist,3,Single,8368,4167,2,Y,No,12,3,3,80,0,13,2,1,5,2,1,4
28,No,Travel_Rarely,1233,Research & Development,5,1,Life Sciences,1,19,3,Male,36,3,3,Research Director,1,Married,10810,11140,2,Y,Yes,21,3,1,80,0,0,2,3,0,0,0,0
24,No,Travel_Rarely,168,Research & Development,3,1,Technical Degree,1,20,4,Male,89,3,1,Research Director,3,Divorced,5514,13103,3,Y,No,12,3,4,80,1,1,1,2,0,0,0,0
